title,release_year,genres,cast,director,worldwide_collection
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy, Sci-Fi","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper",James Gunn,863756051
Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi","Tom Holland, Michael Keaton, Robert Downey Jr., Zendaya, Marisa Tomei",Jon Watts,880166924
Thor: Ragnarok,2017,"Action, Adventure, Comedy, Fantasy","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Tessa Thompson",Taika Waititi,853983811
Black Panther,2018,"Action, Adventure, Sci-Fi","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Letitia Wright",Ryan Coogler,1347597973
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Josh Brolin","Anthony Russo, Joe Russo",2048359754
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy, Sci-Fi","Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Michael Peña",Peyton Reed,622674139
Captain Marvel,2019,"Action, Adventure, Sci-Fi","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Jude Law","Anna Boden, Ryan Fleck",1128469290
Avengers: Endgame,2019,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner","Anthony Russo, Joe Russo",2799439100
Spider-Man: Far From Home,2019,"Action, Adventure, Sci-Fi","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Zendaya, Marisa Tomei",Jon Watts,1131927996
Black Widow,2021,"Action, Adventure, Sci-Fi","Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz",Cate Shortland,379751655
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy","Simu Liu, Awkwafina, Tony Leung Chiu-wai, Ben Kingsley, Michelle Yeoh",Destin Daniel Cretton,432243292
Eternals,2021,"Action, Adventure, Fantasy","Gemma Chan, Richard Madden, Angelina Jolie, Kumail Nanjiani, Salma Hayek",Chloé Zhao,402064899
Spider-Man: No Way Home,2021,"Action, Adventure, Sci-Fi","Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau",Jon Watts,1921847111
Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",Sam Raimi,955775804
Thor: Love and Thunder,2022,"Action, Adventure, Comedy","Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi",Taika Waititi,760928081
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama","Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke, Angela Bassett",Ryan Coogler,859208836
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy","Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Jonathan Majors",Peyton Reed,476071180
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy","Chris Pratt, Zoe Saldana, Dave Bautista, Karen Gillan, Pom Klementieff",James Gunn,845555777
The Marvels,2023,"Action, Adventure, Fantasy","Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson",Nia DaCosta,206136825
Deadpool & Wolverine,2024,"Action, Comedy, Sci-Fi","Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen",Shawn Levy,1337790844
Spider-Man,2002,"Action, Adventure, Sci-Fi","Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",Sam Raimi,825025092
Spider-Man 2,2004,"Action, Adventure, Sci-Fi","Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco",Sam Raimi,788976453
Spider-Man 3,2007,"Action, Adventure, Sci-Fi","Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",Sam Raimi,894983373
The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi","Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",Marc Webb,757930663
The Amazing Spider-Man 2,2014,"Action, Adventure, Sci-Fi","Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",Marc Webb,708982323
X-Men,2000,"Action, Adventure, Sci-Fi","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",Bryan Singer,296339528
X2: X-Men United,2003,"Action, Adventure, Sci-Fi","Hugh Jackman, Patrick Stewart, Ian McKellen, Halle Berry",Bryan Singer,407711549
X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",Brett Ratner,460435291
X-Men Origins: Wolverine,2009,"Action, Adventure, Sci-Fi","Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",Gavin Hood,373062864
X-Men: First Class,2011,"Action, Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",Matthew Vaughn,353624124
The Wolverine,2013,"Action, Adventure, Sci-Fi","Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",James Mangold,414828246
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",Bryan Singer,746045700
Deadpool,2016,"Action, Adventure, Comedy","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",Tim Miller,782836791
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac",Bryan Singer,543934105
Logan,2017,"Action, Drama, Sci-Fi","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",James Mangold,619179950
Deadpool 2,2018,"Action, Adventure, Comedy","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",David Leitch,785896609
Dark Phoenix,2019,"Action, Adventure, Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Sophie Turner",Simon Kinberg,252442974
Venom,2018,"Action, Sci-Fi","Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",Ruben Fleischer,856085151
Venom: Let There Be Carnage,2021,"Action, Sci-Fi","Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris",Andy Serkis,506863592
Morbius,2022,"Action, Adventure, Horror","Jared Leto, Matt Smith, Adria Arjona, Jared Harris",Daniel Espinosa,167469484
